Tag Length (Average tag length = 73.880607)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000014
3	0.000024
4	0.000045
5	0.000058
6	0.000057
7	0.000060
8	0.000061
9	0.000063
10	0.000065
11	0.000068
12	0.000072
13	0.000075
14	0.000089
15	0.000130
16	0.000204
17	0.000310
18	0.000391
19	0.000451
20	0.000498
21	0.000539
22	0.000566
23	0.000620
24	0.000663
25	0.000754
26	0.000738
27	0.000751
28	0.000773
29	0.000829
30	0.000843
31	0.000844
32	0.000877
33	0.000898
34	0.000909
35	0.000909
36	0.000951
37	0.000953
38	0.000963
39	0.001001
40	0.000997
41	0.001005
42	0.001020
43	0.001053
44	0.001040
45	0.001063
46	0.001079
47	0.001095
48	0.001080
49	0.001090
50	0.001095
51	0.001110
52	0.001118
53	0.001150
54	0.001199
55	0.001217
56	0.001240
57	0.001243
58	0.001276
59	0.001053
60	0.001050
61	0.001065
62	0.001068
63	0.001056
64	0.001115
65	0.001124
66	0.001202
67	0.001195
68	0.001423
69	0.001421
70	0.001875
71	0.002648
72	0.006971
73	0.025792
74	0.077634
75	0.262843
76	0.570179
