Tag Length (Average tag length = 73.988006)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000013
3	0.000024
4	0.000044
5	0.000057
6	0.000056
7	0.000061
8	0.000062
9	0.000063
10	0.000065
11	0.000067
12	0.000073
13	0.000077
14	0.000090
15	0.000125
16	0.000195
17	0.000300
18	0.000375
19	0.000430
20	0.000471
21	0.000512
22	0.000535
23	0.000570
24	0.000618
25	0.000694
26	0.000693
27	0.000713
28	0.000727
29	0.000774
30	0.000789
31	0.000800
32	0.000822
33	0.000844
34	0.000851
35	0.000844
36	0.000870
37	0.000891
38	0.000898
39	0.000915
40	0.000925
41	0.000930
42	0.000940
43	0.000958
44	0.000949
45	0.000955
46	0.000980
47	0.001005
48	0.000994
49	0.000987
50	0.001003
51	0.001014
52	0.001025
53	0.001048
54	0.001095
55	0.001117
56	0.001145
57	0.001151
58	0.001174
59	0.000986
60	0.000973
61	0.001033
62	0.001040
63	0.001173
64	0.001130
65	0.001168
66	0.001346
67	0.001131
68	0.001341
69	0.001336
70	0.001798
71	0.002549
72	0.006903
73	0.025488
74	0.076836
75	0.259019
76	0.578351
