Tag Length (Average tag length = 74.225266)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000015
3	0.000024
4	0.000044
5	0.000059
6	0.000059
7	0.000060
8	0.000061
9	0.000063
10	0.000067
11	0.000072
12	0.000074
13	0.000077
14	0.000082
15	0.000101
16	0.000150
17	0.000246
18	0.000318
19	0.000376
20	0.000416
21	0.000452
22	0.000466
23	0.000501
24	0.000528
25	0.000585
26	0.000575
27	0.000590
28	0.000608
29	0.000640
30	0.000657
31	0.000656
32	0.000690
33	0.000693
34	0.000703
35	0.000699
36	0.000735
37	0.000739
38	0.000757
39	0.000783
40	0.000782
41	0.000819
42	0.000834
43	0.000852
44	0.000876
45	0.000882
46	0.000906
47	0.000938
48	0.000941
49	0.000981
50	0.001015
51	0.001045
52	0.001075
53	0.001122
54	0.001210
55	0.001235
56	0.001276
57	0.001347
58	0.001389
59	0.000763
60	0.000769
61	0.000776
62	0.000769
63	0.000764
64	0.000821
65	0.000819
66	0.000931
67	0.000899
68	0.001245
69	0.001105
70	0.001717
71	0.002240
72	0.006921
73	0.020997
74	0.072120
75	0.209801
76	0.642598
