# HOMER Peaks
# Peak finding parameters:
# tag directory = data/external/H3K27AC/T47D_H3K27Ac_E2_DHT
#
# total super enhancers = 931
# super enhancer stitching window = 12500
# super enhancer slope threshold = 1.00
# super enhancer slope moving window = 10
#
# total peaks = 24172
# peak size = 332
# peaks found using tags on both strands
# minimum distance between peaks = 12500
# fragment length = 244
# genome size = 2000000000
# Total tags = 96596880.0
# Total tags in peaks = 34292978.0
# Approximate IP efficiency = 35.50%
# tags per bp = 0.048298
# expected tags per peak = 16.035
# maximum tags considered per bp = 4.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.219221e-06
# FDR tag threshold = 37.0
# number of putative peaks = 1047496
#
# input tag directory = data/external/H3K27AC/T47D_Pooled_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 238984
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 578302
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks data/external/H3K27AC/T47D_H3K27Ac_E2_DHT -i data/external/H3K27AC/T47D_Pooled_input -style super -typical output/HOMER/T47D_H3K27Ac_E2_DHT/enhancers.tsv -o output/HOMER/T47D_H3K27Ac_E2_DHT/superEnhancers.tsv
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	superEnhancer slope	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr16-7193	chr16	685625	740874	+	2340.8	55249.000	476.000000	4.40	2.35e-157	0.58
chr14-526	chr14	77499926	77591487	+	2201.3	91561.000	1086.000000	4.40	0.00e+00	0.42
chr20-23384	chr20	19731311	19765920	+	2184.5	34609.000	60.000000	5.05	3.21e-23	0.82
chr11-12305	chr11	62413184	62447095	+	2143.3	33911.000	435.000000	4.52	1.17e-149	0.61
chr11-12610	chr11	118955301	118979088	+	2097.9	23787.000	426.000000	4.93	1.01e-157	0.62
chr3-32171	chr3	183841904	183873957	+	2058.4	601.853	134.000000	6.00	1.04e-71	0.79
chr11-5872	chr11	62358495	62389555	+	2055.9	463.672	696.000000	5.07	4.53e-263	0.54
chr19-2086	chr19	2035404	2070267	+	1928.7	470.967	670.000000	4.32	7.21e-204	0.54
chr1-12892	chr1	151008619	151043819	+	1905.5	431.764	500.000000	4.22	5.95e-149	0.62
chr19-27672	chr19	1842423	1898408	+	1866.5	401.863	122.000000	4.59	1.18e-41	0.76
chr8-13499	chr8	145727593	145754727	+	1758.0	410.491	244.000000	4.00	4.20e-69	0.71
chr17-6956	chr17	74553080	74581986	+	1752.3	432.037	647.000000	4.30	2.57e-214	0.56
chr19-273	chr19	40939303	40971628	+	1728.4	329.897	899.000000	4.28	2.69e-273	0.49
chr6-2857	chr6	26045739	26068548	+	1725.1	337.369	708.000000	4.05	1.43e-198	0.54
chr14-4330	chr14	74058129	74079794	+	1708.7	324.461	590.000000	4.17	1.71e-198	0.55
chr17-14330	chr17	38256342	38279366	+	1660.9	224.482	391.000000	4.76	1.46e-141	0.62
