name	Unique Positions	Total Tags
genome	84940845	96596880.0
fragmentLengthEstimate=244		
peakSizeEstimate=332		
tagsPerBP=0.031213		
averageTagsPerPosition=1.137		
medianTagsPerPosition=1		
averageTagLength=73.988		
gsizeEstimate=3094757090		
averageFragmentGCcontent=-1.000		
chr1	8047321	9185966.0
chr2	4675676	5106650.0
chr3	6239835	7089508.0
chr4	3171818	3455714.0
chr5	4781504	5382020.0
chr6	4365273	4922799.0
chr7	4031633	4540992.0
chr8	4079828	4650310.0
chr9	3639141	4184592.0
chr10	4292891	4891361.0
chr11	5432925	6343740.0
chr12	4840114	5577102.0
chr13	1585830	1714530.0
chr14	3315753	3809901.0
chr15	2471214	2782187.0
chr16	3415938	4002447.0
chr17	4887746	5803132.0
chr18	1192952	1292959.0
chr19	3398152	3865830.0
chr20	2574525	3001732.0
chr21	1226780	1384295.0
chr22	1576796	1780895.0
chrX	1687888	1818375.0
chrY	6109	6521.0
chrM	3203	3322.0
cmd=makeTagDirectory data/external/H3K27AC/T47D_H3K27Ac_E2_DHT data/external/H3K27AC/bam/T47D_H3K27Ac_E2_DHT_1_mapped_reads.bam data/external/H3K27AC/bam/T47D_H3K27Ac_E2_DHT_2_mapped_reads.bam data/external/H3K27AC/bam/T47D_H3K27Ac_E2_DHT_3_mapped_reads.bam		
