# HOMER Peaks
# Peak finding parameters:
# tag directory = data/external/H3K27AC/T47D_H3K27Ac_E2
#
# total super enhancers = 660
# super enhancer stitching window = 12500
# super enhancer slope threshold = 1.00
# super enhancer slope moving window = 10
#
# total peaks = 23403
# peak size = 350
# peaks found using tags on both strands
# minimum distance between peaks = 12500
# fragment length = 252
# genome size = 2000000000
# Total tags = 58163939.0
# Total tags in peaks = 22801066.0
# Approximate IP efficiency = 39.20%
# tags per bp = 0.028790
# expected tags per peak = 10.076
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.337865e-06
# FDR tag threshold = 27.0
# number of putative peaks = 875909
#
# input tag directory = data/external/H3K27AC/T47D_Pooled_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 160436
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 500119
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks data/external/H3K27AC/T47D_H3K27Ac_E2 -i data/external/H3K27AC/T47D_Pooled_input -style super -typical output/HOMER/T47D_H3K27Ac_E2/enhancers.tsv -o output/HOMER/T47D_H3K27Ac_E2/superEnhancers.tsv
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	superEnhancer slope	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr6-1035	chr6	26020699	26068561	+	4366.2	47862.000	618.000000	4.97	4.26e-233	0.58
chr3-31242	chr3	183841888	183874029	+	2574.1	32141.000	80.000000	6.91	5.82e-55	0.81
chr16-7609	chr16	685593	740893	+	2482.9	55300.000	280.000000	4.06	1.30e-94	0.71
chr11-10629	chr11	118955300	118979115	+	2393.4	23815.000	306.000000	5.17	5.89e-120	0.75
chr11-10263	chr11	62413231	62447083	+	2389.0	33852.000	315.000000	4.98	7.19e-124	0.70
chr20-18420	chr20	19731393	19765878	+	2330.6	1189.369	50.000000	7.68	2.26e-30	0.86
chr16-5233	chr16	30662092	30690255	+	2301.6	240.385	368.000000	5.93	1.37e-200	0.67
chr11-7206	chr11	62358461	62389578	+	2291.6	196.687	406.000000	5.11	1.28e-167	0.66
chr19-220	chr19	40931304	40971641	+	2217.3	149.660	629.000000	4.20	1.37e-189	0.56
chr11-13447	chr11	120497920	120528905	+	2202.3	159.234	244.000000	4.85	4.24e-89	0.72
chr16-5095	chr16	2058982	2098622	+	2147.2	137.671	374.000000	4.82	4.73e-135	0.66
chr11-589	chr11	64879680	64903091	+	2125.6	131.928	887.000000	4.01	1.89e-255	0.47
chr1-11528	chr1	202081465	202124252	+	2116.0	127.688	338.000000	4.66	3.95e-116	0.69
chr1-9110	chr1	151008963	151043856	+	2114.2	106.924	383.000000	5.84	8.37e-192	0.67
chr17-12630	chr17	38256327	38279540	+	2091.9	123.447	269.000000	5.27	1.39e-110	0.73
chr12-3708	chr12	56497553	56522818	+	2073.7	101.323	512.000000	4.13	3.60e-152	0.64
chr20-2189	chr20	32251161	32274338	+	2055.5	92.148	513.000000	4.19	2.62e-153	0.60
chr19-3137	chr19	2034484	2070028	+	2053.4	105.502	386.000000	4.22	1.05e-115	0.66
chr16-1000	chr16	85409986	85419273	+	2017.8	106.632	689.000000	4.71	2.91e-242	0.55
chr3-17508	chr3	50328919	50403436	+	1972.0	102.272	174.000000	4.36	9.73e-61	0.77
chr19-28607	chr19	1829749	1898441	+	1958.2	135.428	62.000000	4.18	2.47e-19	0.85
chr11-7543	chr11	47197681	47237336	+	1953.7	137.629	395.000000	5.06	5.81e-157	0.67
chr14-3040	chr14	74058162	74079972	+	1919.2	141.287	458.000000	4.68	2.67e-173	0.63
chr17-4517	chr17	74553133	74582055	+	1915.2	133.171	523.000000	5.30	4.44e-220	0.60
chr8-13096	chr8	145727184	145754749	+	1901.1	112.894	147.000000	4.22	4.74e-45	0.78
chr7-5546	chr7	73867690	73898798	+	1821.1	105.763	322.000000	4.18	2.05e-109	0.69
chr8-24063	chr8	125452195	125504178	+	1798.7	117.304	59.000000	8.26	9.13e-37	0.85
